顔から火が出る,カスタム名詞,カオカラヒガデル
顔が火照る,カスタム名詞,カオガホテル
掻き暗れる,カスタム名詞,カキクレル
掻き毟られる,カスタム名詞,カキムシラレル
隔意,カスタム名詞,カクイ
鶴首,カスタム名詞,カクシュ
嚇怒,カスタム名詞,カクド
かぐわしい,カスタム名詞,カグワシイ
陰る,カスタム名詞,カゲル
風向きが悪い,カスタム名詞,カザムキガワルイ
畏まる,カスタム名詞,カシコマル
呵責,カスタム名詞,カシャク
片恨み,カスタム名詞,カタウラミ
肩を落とす,カスタム名詞,カタオオトス
片想い,カスタム名詞,カタオモイ
固くなる,カスタム名詞,カタクナル
堅苦しい,カスタム名詞,カタクルシイ
かたじけない,カスタム名詞,カタジケナイ
肩の荷が下りる,カスタム名詞,カタノニガオリル
片腹痛い,カスタム名詞,カタハライタイ
肩身が狭い,カスタム名詞,カタミガセマイ
肩身が広い,カスタム名詞,カタミガヒロイ
かちっと来る,カスタム名詞,カチットクル
勝ち誇る,カスタム名詞,カチホコル
隔靴掻痒,カスタム名詞,カッカソウヨウ
かったるい,カスタム名詞,カッタルイ
渇望,カスタム名詞,カツボウ
哀しい,カスタム名詞,カナシイ
悲しい,カスタム名詞,カナシイ
悲しがる,カスタム名詞,カナシガル
悲しさ,カスタム名詞,カナシサ
哀しさ,カスタム名詞,カナシサ
悲しまれる,カスタム名詞,カナシマレル
悲しみ,カスタム名詞,カナシミ
悲しむ,カスタム名詞,カナシム
叶わない,カスタム名詞,カナワナイ
雷に打たれる,カスタム名詞,カミナリニウタレル
絡む,カスタム名詞,カラム
軽がろしい,カスタム名詞,カロガロシイ
軽んじる,カスタム名詞,カロンジル
軽んずる,カスタム名詞,カロンズル
可愛がる,カスタム名詞,カワイガル
可哀想,カスタム名詞,カワイソウ
奸悪,カスタム名詞,カンアク
感悦,カスタム名詞,カンエツ
感慨,カスタム名詞,カンガイ
感慨無量,カスタム名詞,カンガイムリョウ
汗顔,カスタム名詞,カンガン
歓喜,カスタム名詞,カンキ
感泣,カスタム名詞,カンキュウ
感興,カスタム名詞,カンキョウ
感極まる,カスタム名詞,カンキワマル
艱苦,カスタム名詞,カンク
感激,カスタム名詞,カンゲキ
歓呼,カスタム名詞,カンコ
感謝,カスタム名詞,カンシャ
癇癪,カスタム名詞,カンシャク
感傷,カスタム名詞,カンショウ
歓笑,カスタム名詞,カンショウ
歓心,カスタム名詞,カンシン
寒心,カスタム名詞,カンシン
感心,カスタム名詞,カンシン
莞爾,カスタム名詞,カンジ
感じ入る,カスタム名詞,カンジイル
感情的,カスタム名詞,カンジョウテキ
感情を害する,カスタム名詞,カンジョウヲガイスル
感情を昂らせる,カスタム名詞,カンジョウヲタカブラセル
歓声,カスタム名詞,カンセイ
感嘆,カスタム名詞,カンタン
歓天喜地,カスタム名詞,カンテンキチ
感動,カスタム名詞,カンドウ
感に堪える,カスタム名詞,カンニコタエル
